sigma1,sigma2,mu1,mu2,logit_p
0.68709339,0.211145893,8.286400458,10.12341607,-3.183185033
0.762235092,0.214230385,8.04451775,10.13193469,-2.983816733
1.000701003,0.201482451,8.652530011,10.13000539,-2.794544561
0.91089145,0.217092796,7.513492724,10.12301553,-2.951560279
0.591010446,0.216218946,8.267255217,10.13319403,-3.150535352
1.432850257,0.208325092,7.742367046,10.13391834,-2.506624411
0.946623823,0.204657593,8.438346217,10.12984834,-2.943724709
0.731964242,0.215771698,8.198829629,10.13919405,-3.036036818
0.656599463,0.21138269,8.444878757,10.13764857,-2.993699068
0.764077877,0.214807668,8.123966744,10.14148749,-3.196553914
1.510780686,0.213543647,7.423196342,10.12602056,-2.50441029
0.906988817,0.205612535,8.622896243,10.13301906,-3.033001865
0.715292093,0.221362249,8.015195194,10.13651251,-2.908874578
0.993932235,0.214856169,7.903457016,10.1338152,-2.720899841
1.013148177,0.210717266,7.59352198,10.12861837,-3.003584117
0.921016436,0.216629634,7.887209851,10.13245758,-3.091512771
0.859597789,0.208456247,7.902996661,10.12823667,-2.593972899
0.823067167,0.210014151,7.994461192,10.12978483,-2.859259347
0.811988673,0.220738467,8.057621853,10.12152739,-3.565313407
1.079183344,0.207135582,7.58093311,10.12862656,-2.507977036
1.517907698,0.212895782,8.165703385,10.13025187,-2.611588595
0.775132761,0.208067844,8.480395965,10.12968383,-3.074482044
0.857212333,0.213793216,8.160060102,10.13488955,-3.377750176
0.881864443,0.217248208,8.34871793,10.13255058,-3.182478085
1.054222883,0.217844455,7.74275927,10.13594052,-2.574840139
0.690790283,0.213916838,7.975650746,10.13542483,-3.033474816
1.198508856,0.214051437,8.32357533,10.13925346,-3.190887014
1.061657703,0.208247851,8.19912867,10.13196957,-3.002414729
1.17917754,0.214079919,8.331321648,10.14033547,-2.879358197
0.786373346,0.210855186,8.289614068,10.13575189,-3.107780852
0.871835178,0.207644119,8.270903245,10.12454227,-2.753739082
0.627484508,0.211424662,8.346999262,10.12917348,-3.239561826
1.141693257,0.212271341,7.778671165,10.12263854,-2.655040926
0.819097648,0.210627466,8.020182923,10.12909013,-2.548213801
1.072347297,0.215816923,8.017767931,10.13867243,-2.654178925
1.470641265,0.220942957,7.579464919,10.13342746,-2.965813271
0.719692013,0.216339572,8.350359915,10.1302165,-3.322458191
1.036235437,0.204983157,8.110407104,10.135471,-2.682170374
0.891620038,0.211691663,8.318652239,10.13829626,-2.816512016
1.815236301,0.201843805,8.038872677,10.12482673,-2.49269829
1.073677747,0.207575639,8.344914574,10.13097649,-2.859787536
0.59679771,0.21891441,8.009687954,10.14589152,-3.114389002
0.973190609,0.214633113,7.9916187,10.12807067,-3.080912738
0.638486142,0.220428259,8.178894103,10.13588793,-2.948877234
0.928506472,0.212972629,8.03114705,10.12708554,-3.346710841
0.799952506,0.215578917,8.312859984,10.14348087,-3.130970017
0.667933255,0.207905396,8.412211991,10.13479976,-3.072355246
0.895024147,0.203766781,8.26369357,10.11703797,-3.092267826
0.856268078,0.21013662,7.816848523,10.13409729,-2.414943045
0.758167761,0.227026775,8.053111119,10.14395697,-2.985270334
0.782236242,0.231810494,7.764531109,10.15072674,-3.538429762
0.785723966,0.213581801,7.932314989,10.1335951,-2.867550089
0.719220688,0.208536381,8.303051107,10.13130831,-3.209228848
0.906000014,0.212496249,8.001093042,10.1293028,-2.949897415
0.932289208,0.221545537,8.002615709,10.1392821,-2.943564965
1.293427111,0.208597607,7.868703981,10.12747623,-2.437763304
1.195970522,0.205239363,8.248837323,10.12486151,-2.81004861
1.054442946,0.20777439,8.413786899,10.13657179,-2.982934947
0.770920422,0.217672383,8.114510183,10.13409618,-3.000252822
0.962753145,0.207589582,7.980433148,10.12955778,-2.873013029
0.825644678,0.209938338,7.775980514,10.12599106,-2.823010008
0.627520332,0.216637702,8.358116115,10.13673846,-3.117160976
1.33486658,0.219141411,7.290512674,10.13231092,-2.372193661
0.809088155,0.211548249,8.431927265,10.13816179,-3.201825801
0.587385967,0.218610428,8.228628627,10.14295026,-3.307616359
1.602302992,0.205408188,7.832592153,10.13336223,-2.648248661
0.713751028,0.214430603,8.063502988,10.12798098,-2.979992455
